Time, Altitude, Velocity, Temperature (C), Voltage
19.50, 3895, -163, 28.23, 9.50
19.55, 3884, -134, 28.26, 9.50
19.60, 3884, -124, 28.26, 9.50
19.65, 3884, -121, 28.28, 9.50
19.70, 3876, -122, 28.30, 9.50
19.75, 3868, -125, 28.31, 9.50
19.80, 3850, -126, 28.33, 9.50
19.85, 3846, -132, 28.35, 9.50
19.90, 3862, -112, 28.35, 9.50
19.95, 3847, -87, 28.36, 9.50
20.00, 3827, -59, 28.37, 9.50
20.05, 3811, -21, 28.38, 9.50
20.10, 3809, -28, 28.39, 9.50
20.15, 3778, -26, 28.39, 9.50
20.20, 3776, -19, 28.39, 9.50
20.25, 3777, -16, 28.40, 9.50
20.30, 3792, 6, 28.39, 9.50
20.35, 3783, 15, 28.40, 9.50
20.40, 3778, 10, 28.40, 9.50
20.45, 3789, -2, 28.40, 9.50
20.50, 3802, -18, 28.38, 9.50
20.55, 3807, -35, 28.38, 9.50
20.60, 3801, -46, 28.38, 9.50
20.65, 3799, -50, 28.37, 9.50
20.70, 3794, -49, 28.37, 9.50
20.75, 3791, -43, 28.36, 9.50
20.80, 3783, -35, 28.36, 9.50
20.85, 3775, -27, 28.35, 9.50
20.90, 3778, -18, 28.35, 9.50
20.95, 3775, -9, 28.33, 9.50
21.00, 3767, -1, 28.33, 9.50
21.05, 3813, 1, 28.31, 9.50
21.10, 3838, -4, 28.26, 9.50
21.15, 3909, -16, 28.22, 9.50
21.20, 3979, -34, 28.18, 9.50
21.25, 4007, -51, 28.15, 9.50
21.30, 3974, -65, 28.14, 9.50
21.35, 3916, -75, 28.14, 9.50
21.40, 3806, -79, 28.17, 9.50
21.45, 3776, -81, 28.17, 9.50
21.50, 3756, -80, 28.19, 9.50
21.55, 3762, -76, 28.21, 9.50
21.60, 3779, -69, 28.20, 9.50
21.65, 3770, -59, 28.20, 9.50
21.70, 3784, -48, 28.19, 9.50
21.75, 3788, -40, 28.17, 9.50
21.80, 3794, -36, 28.15, 9.50
21.85, 3810, -35, 28.11, 9.50
21.90, 3828, -38, 28.10, 9.50
21.95, 3842, -40, 28.10, 9.50
22.00, 3848, -41, 28.10, 9.50
22.05, 3815, -48, 28.14, 9.50
22.10, 3769, -63, 28.17, 9.50
22.15, 3712, -92, 28.20, 9.50
22.20, 3663, -127, 28.24, 9.50
22.25, 3636, -161, 28.24, 9.50
22.30, 3625, -185, 28.25, 9.50
22.35, 3625, -190, 28.25, 9.50
22.40, 3638, -181, 28.25, 9.50
22.45, 3630, -163, 28.24, 9.50
22.50, 3647, -139, 28.23, 9.50
22.55, 3657, -121, 28.23, 9.50
22.60, 3674, -108, 28.22, 9.50
22.65, 3708, -100, 28.21, 9.50
22.70, 3732, -97, 28.21, 9.50
22.75, 3731, -95, 28.20, 9.50
22.80, 3717, -94, 28.18, 9.50
22.85, 3699, -95, 28.15, 9.50
22.90, 3678, -95, 28.12, 9.50
22.95, 3690, -93, 28.08, 9.50
23.00, 3726, -88, 28.07, 9.50
23.05, 3795, -78, 28.07, 9.50
23.10, 3787, -65, 28.10, 9.50
23.15, 3717, -52, 28.15, 9.50
23.20, 3613, -45, 28.20, 9.50
23.25, 3560, -45, 28.21, 9.50
23.30, 3539, -51, 28.21, 9.50
23.35, 3532, -62, 28.21, 9.50
23.40, 3537, -73, 28.21, 9.50
23.45, 3545, -80, 28.21, 9.50
23.50, 3555, -85, 28.20, 9.50
23.55, 3572, -87, 28.20, 9.50
23.60, 3579, -88, 28.20, 9.50
23.65, 3600, -89, 28.18, 9.50
23.70, 3602, -87, 28.16, 9.50
23.75, 3611, -82, 28.15, 9.50
23.80, 3632, -74, 28.11, 9.50
23.85, 3646, -65, 28.09, 9.50
23.90, 3646, -62, 28.07, 9.50
23.95, 3651, -67, 28.05, 9.50
24.00, 3652, -77, 28.06, 9.50
24.05, 3644, -88, 28.11, 9.50
24.10, 3625, -92, 28.16, 9.50
24.15, 3603, -89, 28.19, 9.50
24.20, 3578, -80, 28.20, 9.50
24.25, 3532, -71, 28.20, 9.50
24.30, 3507, -65, 28.20, 9.50
24.35, 3470, -64, 28.18, 9.50
24.40, 3468, -67, 28.18, 9.50
24.45, 3476, -73, 28.18, 9.50
24.50, 3491, -81, 28.18, 9.50
24.55, 3509, -91, 28.17, 9.50
24.60, 3522, -103, 28.16, 9.50
24.65, 3550, -115, 28.15, 9.50
24.70, 3556, -126, 28.15, 9.50
24.75, 3567, -134, 28.13, 9.50
24.80, 3584, -141, 28.11, 9.50
24.85, 3589, -144, 28.10, 9.50
24.90, 3594, -145, 28.08, 9.50
24.95, 3590, -144, 28.05, 9.50
25.00, 3585, -140, 28.02, 9.50
25.05, 3555, -133, 28.04, 9.50
25.10, 3525, -124, 28.05, 9.50
25.15, 3483, -111, 28.08, 9.50
25.20, 3441, -97, 28.12, 9.50
25.25, 3421, -83, 28.15, 9.50
25.30, 3410, -72, 28.16, 9.50
25.35, 3415, -67, 28.17, 9.50
25.40, 3411, -69, 28.16, 9.50
25.45, 3396, -76, 28.16, 9.50
25.50, 3407, -85, 28.16, 9.50
25.55, 3387, -95, 28.16, 9.50
25.60, 3360, -104, 28.16, 9.50
25.65, 3350, -113, 28.16, 9.50
25.70, 3350, -121, 28.15, 9.50
25.75, 3351, -128, 28.15, 9.50
25.80, 3347, -136, 28.15, 9.50
25.85, 3373, -145, 28.15, 9.50
25.90, 3360, -155, 28.15, 9.50
25.95, 3365, -165, 28.14, 9.50
26.00, 3377, -170, 28.14, 9.50
26.05, 3379, -166, 28.13, 9.50
26.10, 3382, -153, 28.13, 9.50
26.15, 3377, -132, 28.13, 9.50
26.20, 3382, -109, 28.11, 9.50
26.25, 3382, -89, 28.11, 9.50
26.30, 3369, -75, 28.11, 9.50
26.35, 3350, -67, 28.11, 9.50
26.40, 3327, -63, 28.11, 9.50
26.45, 3323, -58, 28.11, 9.50
26.50, 3321, -55, 28.11, 9.50
26.55, 3322, -51, 28.11, 9.50
26.60, 3322, -49, 28.12, 9.50
26.65, 3323, -49, 28.12, 9.50
26.70, 3318, -53, 28.12, 9.50
26.75, 3314, -57, 28.11, 9.50
26.80, 3316, -60, 28.10, 9.50
26.85, 3302, -63, 28.10, 9.50
26.90, 3266, -62, 28.10, 9.50
26.95, 3219, -62, 28.10, 9.50
27.00, 3194, -64, 28.10, 9.50
27.05, 3197, -69, 28.09, 9.50
27.10, 3223, -79, 28.10, 9.50
27.15, 3253, -91, 28.10, 9.50
27.20, 3266, -104, 28.10, 9.50
27.25, 3286, -116, 28.10, 9.50
27.30, 3288, -124, 28.10, 9.50
27.35, 3281, -124, 28.11, 9.50
27.40, 3291, -114, 28.10, 9.50
27.45, 3289, -93, 28.10, 9.50
27.50, 3290, -65, 28.10, 9.50
27.55, 3283, -36, 28.10, 9.50
27.60, 3263, -13, 28.11, 9.50
27.65, 3244, 2, 28.11, 9.50
27.70, 3240, 9, 28.11, 9.50
27.75, 3238, 11, 28.11, 9.50
27.80, 3218, 12, 28.11, 9.50
27.85, 3244, 14, 28.12, 9.50
27.90, 3254, 17, 28.11, 9.50
27.95, 3267, 20, 28.10, 9.50
28.00, 3265, 20, 28.11, 9.50
28.05, 3228, 13, 28.11, 9.50
28.10, 3192, 0, 28.12, 9.50
28.15, 3183, -19, 28.10, 9.50
28.20, 3158, -40, 28.10, 9.50
28.25, 3104, -60, 28.10, 9.50
28.30, 3076, -78, 28.08, 9.50
28.35, 3065, -92, 28.06, 9.50
28.40, 3109, -102, 28.05, 9.50
28.45, 3191, -108, 28.03, 9.50
28.50, 3288, -111, 28.01, 9.50
28.55, 3327, -112, 28.02, 9.50
28.60, 3351, -110, 28.01, 9.50
28.65, 3347, -109, 28.01, 9.50
28.70, 3333, -109, 28.01, 9.50
28.75, 3334, -110, 28.00, 9.50
28.80, 3318, -112, 27.98, 9.50
28.85, 3294, -114, 27.96, 9.50
28.90, 3268, -112, 27.96, 9.50
28.95, 3257, -105, 27.96, 9.50
29.00, 3244, -94, 27.99, 9.50
29.05, 3241, -78, 28.02, 9.50
29.10, 3218, -60, 28.05, 9.50
29.15, 3192, -42, 28.08, 9.50
29.20, 3157, -24, 28.10, 9.50
29.25, 3117, -10, 28.11, 9.50
29.30, 3095, -4, 28.11, 9.50
29.35, 3083, -10, 28.11, 9.50
29.40, 3080, -31, 28.11, 9.50
29.45, 3061, -63, 28.11, 9.50
29.50, 3048, -101, 28.10, 9.50
29.55, 3053, -134, 28.10, 9.50
29.60, 3045, -160, 28.10, 9.50
29.65, 3031, -176, 28.10, 9.50
29.70, 3022, -183, 28.11, 9.50
29.75, 3006, -183, 28.10, 9.50
29.80, 3009, -175, 28.10, 9.50
29.85, 3029, -161, 28.10, 9.50
29.90, 3040, -141, 28.08, 9.50
29.95, 3062, -118, 28.06, 9.50
30.00, 3076, -98, 28.04, 9.50
30.05, 3090, -82, 28.01, 9.50
30.10, 3097, -72, 28.00, 9.50
30.15, 3101, -68, 27.98, 9.50
30.20, 3103, -65, 27.98, 9.50
30.25, 3103, -61, 28.00, 9.50
30.30, 3100, -57, 28.01, 9.50
30.35, 3100, -52, 28.03, 9.50
30.40, 3081, -50, 28.03, 9.50
30.45, 3063, -51, 28.05, 9.50
30.50, 3026, -56, 28.05, 9.50
30.55, 3020, -62, 28.06, 9.50
30.60, 2984, -69, 28.07, 9.50
30.65, 2965, -74, 28.08, 9.50
30.70, 2945, -79, 28.08, 9.50
30.75, 2973, -84, 28.09, 9.50
30.80, 2956, -90, 28.09, 9.50
30.85, 2973, -98, 28.08, 9.50
30.90, 3035, -108, 28.06, 9.50
30.95, 3073, -117, 28.01, 9.50
31.00, 3108, -125, 27.94, 9.50
31.05, 3102, -128, 27.91, 9.50
31.10, 3053, -125, 27.91, 9.50
31.15, 3010, -113, 27.94, 9.50
31.20, 2998, -93, 27.97, 9.50
31.25, 2990, -68, 28.00, 9.50
31.30, 2987, -48, 28.02, 9.50
31.35, 2985, -41, 28.04, 9.50
31.40, 2983, -51, 28.04, 9.50
31.45, 2942, -72, 28.05, 9.50
31.50, 2932, -93, 28.05, 9.50
31.55, 2906, -107, 28.06, 9.50
31.60, 2877, -110, 28.07, 9.50
31.65, 2865, -104, 28.07, 9.50
31.70, 2850, -94, 28.06, 9.50
31.75, 2849, -86, 28.07, 9.50
31.80, 2833, -82, 28.07, 9.50
31.85, 2834, -87, 28.07, 9.50
31.90, 2831, -101, 28.07, 9.50
31.95, 2820, -120, 28.08, 9.50
32.00, 2823, -140, 28.07, 9.50
32.05, 2840, -153, 28.07, 9.50
32.10, 2842, -157, 28.05, 9.50
32.15, 2906, -153, 28.04, 9.50
32.20, 2952, -147, 28.00, 9.50
32.25, 3054, -140, 27.94, 9.50
32.30, 3101, -133, 27.93, 9.50
32.35, 3050, -126, 27.94, 9.50
32.40, 2900, -115, 27.96, 9.50
32.45, 2799, -103, 27.99, 9.50
32.50, 2747, -90, 28.00, 9.50
32.55, 2769, -79, 28.00, 9.50
32.60, 2761, -71, 27.99, 9.50
32.65, 2777, -66, 27.97, 9.50
32.70, 2792, -65, 27.95, 9.50
32.75, 2813, -66, 27.93, 9.50
32.80, 2853, -68, 27.94, 9.50
32.85, 2871, -70, 28.00, 9.50
32.90, 2849, -72, 28.04, 9.50
32.95, 2785, -72, 28.05, 9.50
33.00, 2760, -73, 28.05, 9.50
33.05, 2727, -75, 28.04, 9.50
33.10, 2722, -79, 28.03, 9.50
33.15, 2715, -89, 28.03, 9.50
33.20, 2724, -101, 28.03, 9.50
33.25, 2720, -114, 28.03, 9.50
33.30, 2725, -122, 28.03, 9.50
33.35, 2747, -118, 28.01, 9.50
33.40, 2752, -103, 28.01, 9.50
33.45, 2760, -80, 28.01, 9.50
33.50, 2752, -60, 28.01, 9.50
33.55, 2756, -51, 28.03, 9.50
33.60, 2742, -57, 28.01, 9.50
33.65, 2732, -75, 28.03, 9.50
33.70, 2720, -98, 28.02, 9.50
33.75, 2706, -118, 28.02, 9.50
33.80, 2690, -126, 28.03, 9.50
33.85, 2683, -123, 28.02, 9.50
33.90, 2681, -112, 28.01, 9.50
33.95, 2693, -99, 28.02, 9.50
34.00, 2684, -90, 28.01, 9.50
34.05, 2712, -85, 28.01, 9.50
34.10, 2740, -85, 27.98, 9.50
34.15, 2774, -86, 27.96, 9.50
34.20, 2819, -89, 27.94, 9.50
34.25, 2829, -92, 27.93, 9.50
